fid,id,left,top,right,bottom,row_index,col_index,tree_height_mean,tree_height_min,tree_height_max,biketrail_distance_mean,biketrail_distance_max,carroad_mean,carroad_max,horse_mean,horse_max,hiking_distance_mean,hiking_distance_max
"8747","30372",320433.2125,5605991.8086,320533.2125,5605891.8086,"125","142",13.721857913208,0,24.2099914550781,107.96763972435,143.544418334961,2110.78567131348,2135.70825195312,255.430354960632,310.220886230469,456.615485925293,518.167907714844
"8748","30373",320433.2125,5605891.8086,320533.2125,5605791.8086,"126","142",11.8870529632568,0,22.6199951171875,44.4974970988274,95.7548980712891,2076.22210030518,2134.7001953125,156.241140440369,211.834838867188,500.217368112183,535.571655273438
"8749","30374",320433.2125,5605791.8086,320533.2125,5605691.8086,"127","142",8.80907701416016,0,26.9000244140625,55.3394661409378,106,2019.176509729,2087.6640625,58.5248463869572,116.077560424805,409.056418572998,460.613708496094
"8750","30375",320433.2125,5605691.8086,320533.2125,5605591.8086,"128","142",16.6495299407959,0,28.4300231933594,155.089575157166,206,1965.44469465332,2033.30786132812,34.8419663353801,96.5194244384766,309.238173693848,361.337799072266
"8751","30376",320433.2125,5605591.8086,320533.2125,5605491.8086,"129","142",16.2526690917969,0,25.7900085449219,254.900711576843,306,1915.10178068848,1982.447265625,111.960121523666,183.831451416016,209.553528053284,262.545227050781
"8752","30377",320433.2125,5605491.8086,320533.2125,5605391.8086,"130","142",11.6545960083008,0,26.5499877929688,354.696076193237,405.833709716797,1867.95236960449,1934.41723632812,181.566329684448,251.047805786133,110.044789631653,163.917663574219
"8753","30378",320433.2125,5605391.8086,320533.2125,5605291.8086,"131","142",7.15499580317797,0,23.6099853515625,435.290938595931,475.063140869141,1830.47583782673,1889.60974121094,242.621045981844,305.655029296875,30.3410750004696,66.7308044433594
"8754","30468",320533.2125,5617691.8086,320633.2125,5617591.8086,"8","143",14.2284608285392,0,24.0899963378906,428.221020330814,474.734649658203,154.89825858512,214.049057006836,325.766990734374,366.580139160156,788.445807319345,814.661254882812
"8755","30469",320533.2125,5617591.8086,320633.2125,5617491.8086,"9","143",14.6147314707438,0,29.239990234375,359.553930677837,414.972290039062,180.597447257458,225.002227783203,256.237758118429,306.967437744141,853.925522314447,893.838928222656
"8756","30470",320533.2125,5617491.8086,320633.2125,5617391.8086,"10","143",15.3700537793257,0,30.5799865722656,263.366356987015,320.750671386719,212.169414687914,243.704742431641,152.829002468065,204.841400146484,826.273581999391,882.431274414062
"8757","30471",320533.2125,5617391.8086,320633.2125,5617291.8086,"11","143",16.5166888796703,0,28.75,167.253942664656,222.800354003906,177.867935740766,226.338241577148,59.4505837053045,107.837844848633,733.827609617796,787.249633789062
